ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
190,5/11/2009 11:10,YATAGAN (MUGLA),37.2588,28.159,2.8,4.3,01:56.2
191,5/15/2009 17:32,YATAGAN (MUGLA),37.3108,28.2625,2.5,7.5,01:56.2
192,5/17/2009 8:47,YATAGAN (MUGLA),37.2602,28.2253,2.6,7.3,01:56.2
193,5/19/2009 9:33,YATAGAN (MUGLA),37.2753,28.1767,2.7,5,01:56.2
194,5/23/2009 13:33,YATAGAN (MUGLA),37.3317,28.2513,2.5,7.3,01:56.2
195,5/24/2009 9:21,YATAGAN (MUGLA),37.2773,28.2403,2.6,7.3,01:56.2
196,5/27/2009 9:08,YATAGAN (MUGLA),37.3337,28.1583,2.6,5,01:56.2
197,5/28/2009 8:42,YATAGAN (MUGLA),37.3722,28.189,2.6,8.3,01:56.2
198,5/30/2009 9:41,YATAGAN (MUGLA),37.2687,28.198,2.7,6.2,01:56.2
199,5/30/2009 11:58,YATAGAN (MUGLA),37.2813,28.2405,2.7,7,01:56.2
200,6/4/2009 9:36,YATAGAN (MUGLA),37.3033,28.2627,2.7,10.5,01:56.3
201,6/5/2009 12:11,YATAGAN (MUGLA),37.256,28.2058,2.7,9.2,01:56.3
202,6/9/2009 16:36,YATAGAN (MUGLA),37.2818,28.1262,2.6,7.3,01:56.3
203,6/13/2009 11:35,YATAGAN (MUGLA),37.285,28.2072,2.6,7,01:56.3
204,6/15/2009 12:00,YATAGAN (MUGLA),37.2838,28.1898,2.8,5,01:56.3
205,6/15/2009 17:41,YATAGAN (MUGLA),37.3483,28.2713,2.6,16.9,01:56.3
206,6/16/2009 10:04,YATAGAN (MUGLA),37.2658,28.2042,2.8,3.3,01:56.3
207,6/16/2009 16:56,YATAGAN (MUGLA),37.2335,28.1932,2.7,6.4,01:56.3
208,6/17/2009 9:49,YATAGAN (MUGLA),37.2242,28.169,2.7,10.8,01:56.3
209,6/17/2009 14:45,YATAGAN (MUGLA),37.2668,28.2298,2.7,11.4,01:56.3
210,6/20/2009 8:50,YATAGAN (MUGLA),37.241,28.2053,2.7,5.4,01:56.3
211,6/20/2009 11:49,YATAGAN (MUGLA),37.2247,28.1692,2.7,14.4,01:56.3
212,6/20/2009 17:51,YATAGAN (MUGLA),37.286,28.2455,2.6,4.6,01:56.3
213,6/20/2009 18:12,TURGUT-YATAGAN (MUGLA),37.2175,27.9543,2.7,6.7,01:56.3
214,6/21/2009 9:17,YATAGAN (MUGLA),37.3495,28.1498,2.8,8.9,01:56.3
215,6/21/2009 9:20,YATAGAN (MUGLA),37.2967,28.2268,2.6,5,01:56.3
216,6/23/2009 8:09,YATAGAN (MUGLA),37.2617,28.2068,2.6,6.8,01:56.3
217,6/23/2009 11:49,YATAGAN (MUGLA),37.304,28.2382,2.7,12.5,01:56.3
218,6/23/2009 15:56,YATAGAN (MUGLA),37.2947,28.2012,2.7,9.3,01:56.3
219,6/25/2009 11:44,YATAGAN (MUGLA),37.267,28.1553,2.9,5,01:56.3
220,6/25/2009 17:46,YATAGAN (MUGLA),37.2275,28.1718,2.9,5.3,01:56.3
221,6/26/2009 11:56,YATAGAN (MUGLA),37.2967,28.2057,2.7,7.9,01:56.3
222,6/26/2009 16:29,YATAGAN (MUGLA),37.3195,28.2317,2.5,5,01:56.3
223,6/27/2009 10:31,TURGUT-YATAGAN (MUGLA),37.2618,27.961,2.7,11.4,01:56.3
224,6/28/2009 10:31,YATAGAN (MUGLA),37.303,28.265,2.6,8.5,01:56.3
225,6/29/2009 11:49,YATAGAN (MUGLA),37.3072,28.2432,2.8,5.6,01:56.3
226,6/30/2009 11:43,YATAGAN (MUGLA),37.2302,28.1853,2.6,6.8,01:56.3
227,6/30/2009 17:47,YATAGAN (MUGLA),37.2448,28.1773,2.7,6.9,01:56.3
228,7/2/2009 11:49,YATAGAN (MUGLA),37.2605,28.1838,2.7,5.8,01:56.4
229,7/2/2009 17:52,YATAGAN (MUGLA),37.2825,28.2273,2.7,10.8,01:56.4
230,7/3/2009 12:08,YATAGAN (MUGLA),37.337,28.2662,2.7,15.4,01:56.4
231,7/5/2009 9:04,YATAGAN (MUGLA),37.3098,28.2338,2.7,3,01:56.4
232,7/6/2009 13:58,YATAGAN (MUGLA),37.2625,28.2007,2.7,6.7,01:56.4
233,7/8/2009 15:33,YATAGAN (MUGLA),37.3052,28.2545,2.4,2.8,01:56.4
234,7/9/2009 11:54,YATAGAN (MUGLA),37.2792,28.2348,2.4,5.6,01:56.4
235,7/10/2009 9:43,YATAGAN (MUGLA),37.3652,28.2428,2.5,7.6,01:56.4
236,7/12/2009 12:24,YATAGAN (MUGLA),37.2325,28.192,2.7,6.5,01:56.4
237,7/12/2009 12:39,YATAGAN (MUGLA),37.2465,28.1995,2.6,7.1,01:56.4
238,7/20/2009 11:55,YATAGAN (MUGLA),37.2183,28.1492,2.6,3.7,01:56.4
239,7/21/2009 10:57,YATAGAN (MUGLA),37.263,28.1943,2.6,7.9,01:56.4
240,7/23/2009 12:45,YATAGAN (MUGLA),37.2413,28.2095,2.5,4.2,01:56.4
241,7/26/2009 11:55,YATAGAN (MUGLA),37.284,28.2247,2.6,5.3,01:56.4
242,7/29/2009 18:07,YATAGAN (MUGLA),37.3095,28.2098,2.6,6.9,01:56.4
243,7/30/2009 16:45,YATAGAN (MUGLA),37.2982,28.1593,2.7,7,01:56.4
244,8/5/2009 17:08,YATAGAN (MUGLA),37.2717,28.2367,2.6,8.2,01:56.4
245,8/6/2009 17:54,YATAGAN (MUGLA),37.2657,28.1602,2.7,5,01:56.4
246,8/7/2009 12:15,YATAGAN (MUGLA),37.327,28.2325,2.6,5,01:56.4
247,8/10/2009 12:08,YATAGAN (MUGLA),37.2495,28.1723,2.4,5,01:56.4
248,8/11/2009 17:51,YATAGAN (MUGLA),37.3003,28.2328,2.6,8.8,01:56.4
249,8/12/2009 18:27,YATAGAN (MUGLA),37.2815,28.2465,2.6,7,01:56.4
250,8/13/2009 8:34,YATAGAN (MUGLA),37.3968,28.2345,2.4,5,01:56.4
251,8/14/2009 17:45,YATAGAN (MUGLA),37.2332,28.1718,2.7,5.3,01:56.4
252,8/14/2009 17:54,YATAGAN (MUGLA),37.2363,28.1783,2.6,7.6,01:56.4
253,8/16/2009 11:50,YATAGAN (MUGLA),37.2483,28.1863,2.7,7.4,01:56.4
254,8/16/2009 11:58,YATAGAN (MUGLA),37.3058,28.202,2.5,5,01:56.4
255,8/19/2009 10:20,YATAGAN (MUGLA),37.2412,28.2015,2.6,5.7,01:56.4
256,8/25/2009 13:18,YATAGAN (MUGLA),37.2727,28.2,2.6,6.3,01:56.4
257,8/26/2009 13:16,YATAGAN (MUGLA),37.3103,28.2465,2.7,5.6,01:56.4
258,9/1/2009 18:48,YATAGAN (MUGLA),37.3338,28.1975,2.6,11.1,01:56.5
259,9/2/2009 16:12,YATAGAN (MUGLA),37.2853,28.122,2.6,5,01:56.5
260,9/4/2009 11:02,YATAGAN (MUGLA),37.3217,28.2573,2.6,4.3,01:56.5
261,9/14/2009 13:18,YATAGAN (MUGLA),37.3102,28.2377,2.8,5.3,01:56.5
262,9/15/2009 11:56,YATAGAN (MUGLA),37.305,28.2265,2.6,7.7,01:56.5
263,9/17/2009 18:41,YATAGAN (MUGLA),37.2452,28.1892,2.9,2.5,01:56.5
264,9/18/2009 12:51,YATAGAN (MUGLA),37.264,28.1903,2.8,7.6,01:56.5
265,9/26/2009 9:44,YATAGAN (MUGLA),37.2782,28.1942,2.6,5,01:56.5
266,9/28/2009 12:06,YATAGAN (MUGLA),37.2672,28.2233,2.5,2.5,01:56.5
267,9/30/2009 15:40,YATAGAN (MUGLA),37.3008,28.2152,2.7,5,01:56.5
268,10/5/2009 12:38,YATAGAN (MUGLA),37.2382,28.1812,2.8,6.2,01:56.6
269,10/6/2009 10:18,YATAGAN (MUGLA),37.244,28.1693,2.5,3,01:56.6
270,10/6/2009 17:49,YATAGAN (MUGLA),37.3313,28.2183,2.7,11,01:56.6
271,10/9/2009 12:08,YATAGAN (MUGLA),37.2815,28.167,2.4,4.1,01:56.6
272,10/9/2009 12:55,YATAGAN (MUGLA),37.2375,28.1752,2.6,3.2,01:56.6
273,10/13/2009 9:49,YATAGAN (MUGLA),37.2358,28.187,2.6,7.2,01:56.6
274,10/13/2009 15:56,YATAGAN (MUGLA),37.2143,28.1228,2.7,7,01:56.6
275,10/18/2009 14:56,YATAGAN (MUGLA),37.2753,28.2,2.8,7.4,01:56.6
276,10/19/2009 15:57,YATAGAN (MUGLA),37.2808,28.1768,2.7,8.2,01:56.6
277,10/20/2009 10:41,YATAGAN (MUGLA),37.2095,28.1367,2.5,11.7,01:56.6
278,10/27/2009 14:16,YATAGAN (MUGLA),37.2728,28.145,2.6,17.6,01:56.6
279,11/3/2009 15:49,YATAGAN (MUGLA),37.2893,28.1438,2.6,5,01:56.7
