ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
283,8/14/2013 13:33,BOZBURUN-MARMARIS (MUGLA)                         ,36.7337,28.0338,1.9,12.5,02:03.4
284,8/20/2013 16:15,KARACA-MARMARIS (MUGLA)                           ,36.953,28.23,1.5,4.8,02:03.4
285,8/22/2013 17:05,BOZBURUN-MARMARIS (MUGLA)                         ,36.6972,28.0442,2.3,15.9,02:03.4
286,8/25/2013 22:58,YESILBELDE-MARMARIS (MUGLA)                       ,36.9067,28.1953,2.1,6.9,02:03.4
287,9/17/2013 1:27,OSMANIYE-MARMARIS (MUGLA)                         İlksel,36.7227,28.1602,2,52.7,02:03.6
288,9/18/2013 0:25,CETIBELI-MARMARIS (MUGLA)                         İlksel,36.9565,28.3107,1.4,5,02:03.6
289,9/19/2013 11:06,KARACA-MARMARIS (MUGLA)                           İlksel,36.9293,28.1617,1.8,27.5,02:03.6
290,9/26/2013 2:26,BOZBURUN-MARMARIS (MUGLA)                         İlksel,36.7213,27.994,1.8,9,02:03.6
291,9/27/2013 7:22,BOZBURUN-MARMARIS (MUGLA)                         İlksel,36.6338,28.0308,3.4,85,02:03.6
292,9/28/2013 6:45,CAMLI-MARMARIS (MUGLA)                            İlksel,36.9842,28.2358,1.8,8.4,02:03.6
293,9/29/2013 18:51,KARACA-MARMARIS (MUGLA)                           İlksel,36.9403,28.207,1.5,17.1,02:03.6
294,10/29/2013 22:16,ADAKOY-MARMARIS (MUGLA) [East 6.9 km],36.8252,28.3785,3,5.7,02:03.7
295,10/24/2013 7:07,TASLICA-MARMARIS (MUGLA) [South East 3.4 km],36.6142,28.1367,2,11.1,02:03.7
296,10/7/2013 7:49,TASLICA-MARMARIS (MUGLA) [South West 4.4 km],36.5982,28.0933,2.8,73.7,02:03.7
297,10/5/2013 10:27,KARACA-MARMARIS (MUGLA) [North East 4.6 km],36.9387,28.246,2,4.9,02:03.7
298,10/5/2013 8:40,KARACA-MARMARIS (MUGLA) [East 4.6 km],36.9358,28.2472,2.6,6,02:03.7
299,10/4/2013 20:50,TASLICA-MARMARIS (MUGLA) [South East 2.0 km],36.6172,28.118,2.1,72.5,02:03.7
300,10/4/2013 15:09,CAMLI-MARMARIS (MUGLA) [West 4.4 km],36.9763,28.2132,2.2,22.9,02:03.7
301,10/20/2013 0:21,CETIBELI-MARMARIS (MUGLA) [South East 4.8 km],36.9808,28.3542,1.2,17,02:03.7
302,10/19/2013 23:59,CETIBELI-MARMARIS (MUGLA) [South East 4.6 km],36.9725,28.3462,2.1,8.6,02:03.7
303,10/19/2013 23:25,CETIBELI-MARMARIS (MUGLA) [South East 4.4 km],36.9765,28.3473,2,15.1,02:03.7
304,10/19/2013 22:18,CETIBELI-MARMARIS (MUGLA) [South East 4.2 km],36.9838,28.3493,2.1,12.4,02:03.7
305,10/16/2013 5:01,TASLICA-MARMARIS (MUGLA) [South West 5.1 km],36.6035,28.0638,1.3,67,02:03.7
306,10/16/2013 4:45,CETIBELI-MARMARIS (MUGLA) [North 2.7 km],37.0215,28.3058,1,5,02:03.7
307,10/16/2013 2:13,TASLICA-MARMARIS (MUGLA) [South West 1.9 km],36.6175,28.1005,1.6,3.8,02:03.7
308,10/14/2013 11:15,CETIBELI-MARMARIS (MUGLA) [North 3.5 km],37.028,28.2995,2,5,02:03.7
309,11/10/2013 3:26,MARMARIS ACIKLARI-MUGLA (AKDENIZ)                 İlksel,36.699,28.4382,1.4,10.8,02:03.9
310,11/10/2013 19:02,TURGUTKOY-MARMARIS (MUGLA)                        İlksel,36.7713,28.0643,1.6,72.4,02:03.9
311,11/11/2013 9:14,YESILBELDE-MARMARIS (MUGLA)                       İlksel,36.953,28.0843,1.7,30.1,02:03.9
312,11/25/2013 4:32,MARMARIS ACIKLARI-MUGLA (AKDENIZ)                 İlksel,36.6562,28.483,2,8,02:03.9
313,11/25/2013 13:52,MARMARIS ACIKLARI-MUGLA (AKDENIZ)                 İlksel,36.7127,28.4265,2.3,6.8,02:03.9
